panel,scenario,tier,year,entity,origin_region,destination_region,region,role,metric,value,x_value,y_value,minimum,maximum,unit,source_type,style
c,S1,low,2060,,,,CC,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2060,,,,SC,,regional_demand_met_pct,51.48171648900157,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2060,,,,SW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,low,2060,,,,NW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,mid,2025,,,,NC,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,mid,2025,,,,NE,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,mid,2025,,,,EC,,regional_demand_met_pct,64.72745320828814,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,mid,2025,,,,CC,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,mid,2025,,,,SC,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,mid,2025,,,,SW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,mid,2025,,,,NW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,mid,2030,,,,NC,,regional_demand_met_pct,88.0168235075831,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,mid,2030,,,,NE,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,mid,2030,,,,EC,,regional_demand_met_pct,56.60861612960133,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,mid,2030,,,,CC,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,mid,2030,,,,SC,,regional_demand_met_pct,51.90528758799589,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
c,S1,mid,2030,,,,SW,,regional_demand_met_pct,nan,,,,,%,frozen_all_scenario_regional_account,scenario_tier_year_heatmap
