scenario,tier,year,sector,composition_share,component_demand_10kt,scenario_semantics
S5,low,2050,B,0.5089071403666,451.1865127915,exact sum of S1-S4; no second weighting
S5,low,2050,C,0.06195721642646,6.687484920454,exact sum of S1-S4; no second weighting
S5,low,2050,D,0.1930212323505,64.90664903881,exact sum of S1-S4; no second weighting
S5,low,2055,A,0.2336525445422,123.5248381258,exact sum of S1-S4; no second weighting
S5,low,2055,B,0.5379999779883,654.904205499,exact sum of S1-S4; no second weighting
S5,low,2055,C,0.05436470898311,6.687247524272,exact sum of S1-S4; no second weighting
S5,low,2055,D,0.1739827684864,68.4897747596,exact sum of S1-S4; no second weighting
S5,low,2060,A,0.234458259325,154.7424511545,exact sum of S1-S4; no second weighting
S5,low,2060,B,0.5683836589698,909.4138543517,exact sum of S1-S4; no second weighting
S5,low,2060,C,0.04795737122558,6.474245115453,exact sum of S1-S4; no second weighting
S5,low,2060,D,0.1492007104796,62.66429840142,exact sum of S1-S4; no second weighting
S5,mid,2025,A,0.3739376770538,9.871954674221,exact sum of S1-S4; no second weighting
S5,mid,2025,B,0.5665722379603,22.66288951841,exact sum of S1-S4; no second weighting
S5,mid,2025,C,0,0,exact sum of S1-S4; no second weighting
S5,mid,2025,D,0.05949008498584,0.2498583569405,exact sum of S1-S4; no second weighting
S5,mid,2030,A,0.2727272727273,54,exact sum of S1-S4; no second weighting
S5,mid,2030,B,0.3305785123967,79.33884297521,exact sum of S1-S4; no second weighting
S5,mid,2030,C,0.2231404958678,36.14876033058,exact sum of S1-S4; no second weighting
S5,mid,2030,D,0.1735537190083,21.86776859504,exact sum of S1-S4; no second weighting
S5,mid,2035,A,0.260505150999,103.1319329183,exact sum of S1-S4; no second weighting
S5,mid,2035,B,0.3522923362049,188.6109569395,exact sum of S1-S4; no second weighting
S5,mid,2035,C,0.1947270884355,57.62530909917,exact sum of S1-S4; no second weighting
S5,mid,2035,D,0.1924754243606,56.30035054586,exact sum of S1-S4; no second weighting
S5,mid,2040,A,0.2557322000589,161.2250237372,exact sum of S1-S4; no second weighting
S5,mid,2040,B,0.3676056838689,333.1394430447,exact sum of S1-S4; no second weighting
S5,mid,2040,C,0.171800341715,72.76284415562,exact sum of S1-S4; no second weighting
S5,mid,2040,D,0.2048617743572,103.4626218422,exact sum of S1-S4; no second weighting
S5,mid,2045,A,0.2553966833802,230.8517604329,exact sum of S1-S4; no second weighting
S5,mid,2045,B,0.3829574240349,519.0433973612,exact sum of S1-S4; no second weighting
S5,mid,2045,C,0.1530790307629,82.93428254938,exact sum of S1-S4; no second weighting
S5,mid,2045,D,0.208566861822,153.9548226253,exact sum of S1-S4; no second weighting
S5,mid,2050,A,0.2584880512999,314.9623965261,exact sum of S1-S4; no second weighting
S5,mid,2050,B,0.3999900069784,754.1817937668,exact sum of S1-S4; no second weighting
S5,mid,2050,C,0.1373866098287,88.97470879044,exact sum of S1-S4; no second weighting
S5,mid,2050,D,0.204135331893,196.4328509208,exact sum of S1-S4; no second weighting
S5,mid,2055,A,0.2644991897489,416.9659293977,exact sum of S1-S4; no second weighting
S5,mid,2055,B,0.4193666121061,1048.188957543,exact sum of S1-S4; no second weighting
