scenario,year,plan,region,demand_10kt,local_direct_10kt,pipeline_served_10kt,served_demand_10kt,unserved_demand_10kt,demand_satisfaction_pct,baseline_demand_satisfaction_pct,optimized_2060_demand_10kt,optimized_2060_served_demand_10kt,optimized_2060_demand_satisfaction_pct,connector_gain_2060_pp
S3,2045,baseline,华北,86.7310815617413,21.847508809736873,61.9318,83.77930880973688,2.9517727520044303,96.59663790782645,96.59663790782645,86.7310815617413,85.20923194227174,98.24532383078125,1.6486859229547974
S3,2050,baseline,华北,86.7310815617413,22.681693473126607,61.8617,84.5433934731266,2.1876880886147063,97.47761926956099,97.47761926956099,86.7310815617413,85.20923194227174,98.24532383078125,0.7677045612202562
S3,2055,baseline,华北,86.7310815617413,23.207268327841014,61.8112,85.01846832784102,1.712613233900285,98.02537544434848,98.02537544434848,86.7310815617413,85.20923194227174,98.24532383078125,0.21994838643276182
S3,2060,baseline,华北,86.7310815617413,23.429131942271745,61.7801,85.20923194227174,1.5218496194695632,98.24532383078125,98.24532383078125,86.7310815617413,85.20923194227174,98.24532383078125,0.0
S3,2025,baseline,华南,170.88337804135705,6.826635729472759,0.0,6.826635729472759,164.05674231188428,3.9949091642023733,3.9949091642023733,170.88337804135705,123.31336768592877,72.16229518595108,68.16738602174871
S3,2030,baseline,华南,170.88337804135705,11.60918249561844,0.0,11.60918249561844,159.27419554573862,6.7936288647154415,6.7936288647154415,170.88337804135705,123.31336768592877,72.16229518595108,65.36866632123564
S3,2035,baseline,华南,170.88337804135705,17.998136689334057,0.0,17.998136689334057,152.885241352023,10.532409234664218,10.532409234664218,170.88337804135705,123.31336768592877,72.16229518595108,61.629885951286866
S3,2040,baseline,华南,170.88337804135705,25.4298488591499,0.0,25.4298488591499,145.45352918220715,14.881405757905483,14.881405757905483,170.88337804135705,123.31336768592877,72.16229518595108,57.2808894280456
S3,2045,baseline,华南,170.88337804135705,31.37288140205635,0.0,31.37288140205635,139.5104966393007,18.35923526421833,18.35923526421833,170.88337804135705,123.31336768592877,72.16229518595108,53.80305992173275
S3,2050,baseline,华南,170.88337804135705,34.46519477422458,0.0,34.46519477422458,136.41818326713246,20.168839807159795,20.168839807159795,170.88337804135705,123.31336768592877,72.16229518595108,51.99345537879128
S3,2055,baseline,华南,170.88337804135705,36.68463851098946,0.0,36.68463851098946,134.1987395303676,21.467645906503016,21.467645906503016,170.88337804135705,123.31336768592877,72.16229518595108,50.694649279448065
S3,2060,baseline,华南,170.88337804135705,38.04506768592877,0.0,38.04506768592877,132.8383103554283,22.263761474051115,22.263761474051115,170.88337804135705,123.31336768592877,72.16229518595108,49.898533711899965
S3,2025,baseline,西北,99.41393221094678,99.41393221094678,0.0,99.41393221094678,0.0,100.0,100.0,99.41393221094678,99.41393221094678,100.0,0.0
S3,2030,baseline,西北,99.41393221094678,99.41393221094678,0.0,99.41393221094678,0.0,100.0,100.0,99.41393221094678,99.41393221094678,100.0,0.0
S3,2035,baseline,西北,99.41393221094678,99.41393221094678,0.0,99.41393221094678,0.0,100.0,100.0,99.41393221094678,99.41393221094678,100.0,0.0
S3,2040,baseline,西北,99.41393221094678,99.41393221094678,0.0,99.41393221094678,0.0,100.0,100.0,99.41393221094678,99.41393221094678,100.0,0.0
S3,2045,baseline,西北,99.41393221094678,99.41393221094678,0.0,99.41393221094678,0.0,100.0,100.0,99.41393221094678,99.41393221094678,100.0,0.0
