管段ID,管道名称,起点节点,终点节点,起点节点ID,终点节点ID,起点经度_WGS84,起点纬度_WGS84,终点经度_WGS84,终点纬度_WGS84,设计输量_万吨年,投产年份,管段方向,坐标说明
S115,鲁皖一期管道,枣庄,徐州,N067,N053,117.3160283,34.81395871,117.2749121,34.20440827,655.0,2005,枣庄站 → 徐州站,节点坐标为城市点位或别名映射后的地级市点位
S116,鲁皖一期管道,徐州,宿州,N053,N046,117.2749121,34.20440827,116.9588379,33.64921788,655.0,2005,徐州站 → 宿州站,节点坐标为城市点位或别名映射后的地级市点位
S117,鲁皖一期管道,曲阜,济宁,N065,N090,116.5836833,35.41651785,116.5836833,35.41651785,655.0,2005,曲阜站 → 济宁站,节点坐标为城市点位或别名映射后的地级市点位
S118,鲁皖一期管道,枣庄,临沂,N067,N007,117.3160283,34.81395871,118.3508968,35.10515503,655.0,2005,枣庄站 → 临沂站,节点坐标为城市点位或别名映射后的地级市点位
S119,鲁皖二期管道（东线）,青岛,潍坊,N147,N097,120.3775345,36.06661649,119.1535384,36.70714657,820.0,2008,青岛站 → 潍坊站,节点坐标为城市点位或别名映射后的地级市点位
S120,鲁皖二期管道（东线）,潍坊,济南,N097,N089,119.1535384,36.70714657,116.9954885,36.64792998,820.0,2008,潍坊站 → 济南站,节点坐标为城市点位或别名映射后的地级市点位
S121,鲁皖二期管道（西线）,济南,聊城,N089,N113,116.9954885,36.64792998,115.9801841,36.45418762,820.0,2009,济南站 → 聊城站,节点坐标为城市点位或别名映射后的地级市点位
S122,鲁皖二期管道（西线）,聊城,濮阳,N113,N098,115.9801841,36.45418762,115.0236155,35.76426442,820.0,2009,聊城站 → 濮阳站,节点坐标为城市点位或别名映射后的地级市点位
S123,鲁皖二期管道（西线）,濮阳,汤阴,N098,N082,115.0236155,35.76426442,114.3583007,36.09691222,820.0,2009,濮阳站 → 汤阴站,节点坐标为城市点位或别名映射后的地级市点位
S124,鲁皖二期管道（汤郑支线）,汤阴,新乡,N082,N061,114.3583007,36.09691222,113.9183294,35.30446704,820.0,2010,汤阴站 → 新乡站,节点坐标为城市点位或别名映射后的地级市点位
S125,鲁皖二期管道（汤郑支线）,新乡,郑州,N061,N133,113.9183294,35.30446704,113.6193176,34.74752068,820.0,2010,新乡站 → 郑州站,节点坐标为城市点位或别名映射后的地级市点位
S126,鲁皖二期管道（汤石支线）,汤阴,邯郸,N082,N132,114.3583007,36.09691222,114.5356201,36.62685489,820.0,2009,汤阴站 → 邯郸站,节点坐标为城市点位或别名映射后的地级市点位
S127,鲁皖二期管道（汤石支线）,邯郸,邢台,N132,N131,114.5356201,36.62685489,114.4967119,37.07003791,820.0,2009,邯郸站 → 邢台站,节点坐标为城市点位或别名映射后的地级市点位
S128,鲁皖二期管道（汤石支线）,邢台,石家庄,N131,N106,114.4967119,37.07003791,114.5089353,38.04183339,820.0,2009,邢台站 → 石家庄站,节点坐标为城市点位或别名映射后的地级市点位
