alias,city_code,canonical_city_name,province_name,resolution_method,evidence_note,review_status
菏泽市,371700,菏泽市,山东省,canonical,Exact canonical name from frozen 2024 city master.,approved
萍乡市,360300,萍乡市,江西省,canonical,Exact canonical name from frozen 2024 city master.,approved
营口市,210800,营口市,辽宁省,canonical,Exact canonical name from frozen 2024 city master.,approved
葫芦岛市,211400,葫芦岛市,辽宁省,canonical,Exact canonical name from frozen 2024 city master.,approved
蚌埠市,340300,蚌埠市,安徽省,canonical,Exact canonical name from frozen 2024 city master.,approved
衡水市,131100,衡水市,河北省,canonical,Exact canonical name from frozen 2024 city master.,approved
衡阳市,430400,衡阳市,湖南省,canonical,Exact canonical name from frozen 2024 city master.,approved
衢州市,330800,衢州市,浙江省,canonical,Exact canonical name from frozen 2024 city master.,approved
襄阳市,420600,襄阳市,湖北省,canonical,Exact canonical name from frozen 2024 city master.,approved
西双版纳傣族自治州,532800,西双版纳傣族自治州,云南省,canonical,Exact canonical name from frozen 2024 city master.,approved
西宁市,630100,西宁市,青海省,canonical,Exact canonical name from frozen 2024 city master.,approved
西安市,610100,西安市,陕西省,canonical,Exact canonical name from frozen 2024 city master.,approved
许昌市,411000,许昌市,河南省,canonical,Exact canonical name from frozen 2024 city master.,approved
贵港市,450800,贵港市,广西壮族自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
贵阳市,520100,贵阳市,贵州省,canonical,Exact canonical name from frozen 2024 city master.,approved
贺州市,451100,贺州市,广西壮族自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
资阳市,512000,资阳市,四川省,canonical,Exact canonical name from frozen 2024 city master.,approved
赣州市,360700,赣州市,江西省,canonical,Exact canonical name from frozen 2024 city master.,approved
赤峰市,150400,赤峰市,内蒙古自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
辽源市,220400,辽源市,吉林省,canonical,Exact canonical name from frozen 2024 city master.,approved
辽阳市,211000,辽阳市,辽宁省,canonical,Exact canonical name from frozen 2024 city master.,approved
达州市,511700,达州市,四川省,canonical,Exact canonical name from frozen 2024 city master.,approved
运城市,140800,运城市,山西省,canonical,Exact canonical name from frozen 2024 city master.,approved
连云港市,320700,连云港市,江苏省,canonical,Exact canonical name from frozen 2024 city master.,approved
迪庆藏族自治州,533400,迪庆藏族自治州,云南省,canonical,Exact canonical name from frozen 2024 city master.,approved
通化市,220500,通化市,吉林省,canonical,Exact canonical name from frozen 2024 city master.,approved
通辽市,150500,通辽市,内蒙古自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
遂宁市,510900,遂宁市,四川省,canonical,Exact canonical name from frozen 2024 city master.,approved
遵义市,520300,遵义市,贵州省,canonical,Exact canonical name from frozen 2024 city master.,approved
邢台市,130500,邢台市,河北省,canonical,Exact canonical name from frozen 2024 city master.,approved
那曲市,540600,那曲市,西藏自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
邯郸市,130400,邯郸市,河北省,canonical,Exact canonical name from frozen 2024 city master.,approved
